P4 | 223 | Позиция маркирована | Маркер #12
T4 - X | 223 | Переход завершил работу | Маркер #12
P1 | 223 | Позиция маркирована | Маркер #14
Q1 | 223 | Маркер покинул очередь | Маркер #14
P2 | 223 | Маркер покинул позицию | Маркер #12
T2 - J | 223 | Переход завершил работу | Маркер #14
T3 - F | 223 | Маркер иниц. срабатывание перехода | Маркер #14
P4 | 223 | Маркер уничтожен из конечной позиции | Маркер #12
G1 | 229 | Сгенерирован маркер | Маркер #16
Маркер #16 | 229 | Session = 14,6713023562916
T1 - Y | 229 | Маркер иниц. срабатывание перехода | Маркер #16
G1 | 230 | Маркер покинул генератор | Маркер #16
Q1 | 230 | В очередь добавлен маркер | Маркер #16
T1 - Y | 230 | Переход завершил работу | Маркер #16
Маркер #14 | 232 | Session = 1,05322624230757
P1 | 232 | Маркер покинул позицию | Маркер #14
P2 | 232 | Позиция маркирована | Маркер #14
P3 | 232 | Позиция маркирована | Маркер #14
T3 - F | 232 | Переход завершил работу | Маркер #14
T2 - J | 232 | Маркер иниц. срабатывание перехода | Маркер #13
T4 - X | 232 | Маркер иниц. срабатывание перехода | Маркер #14
P3 | 233 | Маркер покинул позицию | Маркер #14
P5 | 233 | Позиция маркирована | Маркер #14
T4 - X | 233 | Переход завершил работу | Маркер #14
P1 | 233 | Позиция маркирована | Маркер #13
Q1 | 233 | Маркер покинул очередь | Маркер #13
P2 | 233 | Маркер покинул позицию | Маркер #14
T2 - J | 233 | Переход завершил работу | Маркер #13
T1 - Y | 233 | Маркер иниц. срабатывание перехода | Маркер #14
T3 - F | 233 | Маркер иниц. срабатывание перехода | Маркер #13
P5 | 234 | Маркер покинул позицию | Маркер #14
Q1 | 234 | В очередь добавлен маркер | Маркер #14
T1 - Y | 234 | Переход завершил работу | Маркер #14
G1 | 239 | Сгенерирован маркер | Маркер #17
Маркер #17 | 239 | Session = 6,98215103475377
T1 - Y | 239 | Маркер иниц. срабатывание перехода | Маркер #17
G1 | 240 | Маркер покинул генератор | Маркер #17
Q1 | 240 | В очередь добавлен маркер | Маркер #17
T1 - Y | 240 | Переход завершил работу | Маркер #17
Маркер #13 | 242 | Session = -7,21015112893656
P1 | 242 | Маркер покинул позицию | Маркер #13
P2 | 242 | Позиция маркирована | Маркер #13
P3 | 242 | Позиция маркирована | Маркер #13
T3 - F | 242 | Переход завершил работу | Маркер #13
T2 - J | 242 | Маркер иниц. срабатывание перехода | Маркер #15
T4 - X | 242 | Маркер иниц. срабатывание перехода | Маркер #13
P3 | 243 | Маркер покинул позицию | Маркер #13
P4 | 243 | Позиция маркирована | Маркер #13
T4 - X | 243 | Переход завершил работу | Маркер #13
P1 | 243 | Позиция маркирована | Маркер #15
Q1 | 243 | Маркер покинул очередь | Маркер #15
P2 | 243 | Маркер покинул позицию | Маркер #13
T2 - J | 243 | Переход завершил работу | Маркер #15
T3 - F | 243 | Маркер иниц. срабатывание перехода | Маркер #15
P4 | 243 | Маркер уничтожен из конечной позиции | Маркер #13
Маркер #15 | 252 | Session = 0,199029465671629
P1 | 252 | Маркер покинул позицию | Маркер #15
P2 | 252 | Позиция маркирована | Маркер #15
P3 | 252 | Позиция маркирована | Маркер #15
T3 - F | 252 | Переход завершил работу | Маркер #15
T2 - J | 252 | Маркер иниц. срабатывание перехода | Маркер #16
T4 - X | 252 | Маркер иниц. срабатывание перехода | Маркер #15
P3 | 253 | Маркер покинул позицию | Маркер #15
P5 | 253 | Позиция маркирована | Маркер #15
T4 - X | 253 | Переход завершил работу | Маркер #15
P1 | 253 | Позиция маркирована | Маркер #16
Q1 | 253 | Маркер покинул очередь | Маркер #16
P2 | 253 | Маркер покинул позицию | Маркер #15
T2 - J | 253 | Переход завершил работу | Маркер #16
T1 - Y | 253 | Маркер иниц. срабатывание перехода | Маркер #15
T3 - F | 253 | Маркер иниц. срабатывание перехода | Маркер #16
P5 | 254 | Маркер покинул позицию | Маркер #15
Q1 | 254 | В очередь добавлен маркер | Маркер #15
T1 - Y | 254 | Переход завершил работу | Маркер #15
G1 | 256 | Сгенерирован маркер | Маркер #18
Маркер #18 | 256 | Session = 12,9594970704056
T1 - Y | 256 | Маркер иниц. срабатывание перехода | Маркер #18
G1 | 257 | Маркер покинул генератор | Маркер #18
Q1 | 257 | В очередь добавлен маркер | Маркер #18
T1 - Y | 257 | Переход завершил работу | Маркер #18
Маркер #16 | 262 | Session = 5,67130235629156
